iter	Passed	Remaining
341	908	1748
342	910	1744
343	912	1740
344	914	1737
345	916	1733
346	919	1729
347	921	1726
348	923	1722
349	925	1719
350	927	1715
351	929	1711
352	932	1708
353	934	1705
354	937	1702
355	939	1699
356	941	1695
357	943	1692
358	946	1690
359	949	1688
360	952	1685
361	954	1682
362	956	1678
363	958	1675
364	961	1672
365	963	1669
366	965	1665
367	967	1661
368	969	1658
369	971	1654
370	973	1650
371	975	1647
372	978	1644
373	980	1640
374	981	1636
375	983	1632
376	985	1628
377	988	1627
378	991	1624
379	993	1620
380	995	1616
381	997	1613
382	999	1609
383	1001	1606
384	1004	1604
385	1006	1600
386	1008	1597
387	1010	1593
388	1012	1589
389	1014	1586
390	1017	1585
391	1019	1581
392	1021	1578
393	1024	1575
394	1026	1571
395	1028	1569
396	1032	1568
397	1034	1564
398	1036	1561
399	1038	1557
400	1040	1554
401	1043	1552
402	1045	1549
403	1047	1545
404	1050	1542
405	1052	1539
406	1055	1537
407	1057	1534
408	1059	1531
409	1061	1527
410	1063	1524
411	1065	1520
412	1067	1517
413	1070	1515
414	1072	1512
415	1074	1508
416	1076	1505
417	1078	1502
418	1081	1499
419	1084	1497
420	1086	1494
421	1088	1490
422	1090	1487
423	1092	1484
424	1094	1480
425	1097	1478
426	1099	1475
427	1101	1471
428	1102	1468
429	1104	1464
430	1106	1461
431	1109	1458
432	1112	1456
433	1114	1453
434	1116	1450
435	1118	1446
436	1120	1443
437	1123	1441
438	1125	1438
439	1127	1434
440	1129	1432
441	1131	1428
442	1134	1426
443	1137	1423
444	1139	1420
445	1141	1417
446	1143	1414
447	1145	1411
448	1147	1408
449	1150	1406
450	1152	1403
451	1154	1400
452	1156	1396
453	1158	1393
454	1161	1390
455	1163	1387
456	1165	1384
457	1169	1383
458	1171	1380
459	1173	1377
460	1175	1374
461	1177	1371
462	1179	1368
463	1183	1367
464	1185	1364
465	1187	1361
466	1190	1358
467	1192	1355
468	1194	1352
469	1197	1350
470	1199	1347
471	1202	1345
472	1205	1343
473	1208	1341
474	1212	1340
475	1215	1337
476	1217	1334
477	1220	1332
478	1223	1330
479	1225	1327
480	1227	1324
481	1230	1321
482	1232	1318
483	1234	1316
484	1236	1313
485	1239	1310
486	1241	1307
487	1243	1304
488	1245	1301
489	1247	1298
490	1250	1295
491	1252	1292
492	1254	1290
493	1256	1287
494	1258	1284
495	1262	1283
496	1264	1279
497	1266	1276
498	1269	1274
499	1271	1271
500	1273	1268
501	1277	1266
502	1279	1263
503	1281	1260
504	1283	1257
505	1285	1254
506	1287	1252
507	1292	1251
508	1294	1249
509	1297	1246
510	1300	1244
511	1303	1242
512	1306	1239
513	1309	1237
514	1311	1235
515	1317	1235
516	1319	1232
517	1321	1229
518	1323	1227
519	1326	1224
520	1328	1221
521	1331	1219
522	1333	1216
523	1336	1213
524	1338	1211
525	1341	1209
526	1343	1206
527	1346	1203
528	1350	1202
529	1354	1201
530	1356	1198
531	1360	1196
532	1362	1193
533	1367	1193
534	1369	1190
535	1372	1187
536	1374	1185
537	1376	1182
538	1378	1179
539	1380	1176
540	1383	1173
541	1385	1170
542	1389	1169
543	1395	1169
544	1398	1167
545	1402	1165
546	1405	1164
547	1407	1161
548	1409	1158
549	1412	1155
550	1414	1152
551	1416	1149
552	1418	1146
553	1421	1144
554	1423	1141
555	1425	1138
556	1428	1136
557	1431	1133
558	1433	1130
559	1435	1127
560	1437	1124
561	1439	1121
562	1441	1119
563	1444	1116
564	1445	1113
565	1448	1110
566	1450	1107
567	1453	1105
568	1456	1103
569	1458	1100
570	1460	1097
571	1462	1094
572	1465	1091
573	1467	1089
574	1470	1086
575	1473	1084
576	1475	1081
577	1477	1078
578	1479	1076
579	1482	1073
580	1484	1070
581	1486	1067
582	1488	1065
583	1490	1062
584	1494	1059
585	1497	1057
586	1499	1055
587	1501	1052
588	1503	1049
589	1505	1046
590	1508	1044
591	1510	1041
592	1513	1038
593	1514	1035
594	1516	1032
595	1518	1029
596	1522	1027
597	1524	1024
598	1526	1022
599	1528	1019
600	1530	1016
601	1534	1014
602	1537	1012
603	1539	1009
604	1542	1006
605	1544	1003
606	1545	1000
607	1548	998
608	1551	996
609	1553	993
610	1555	990
611	1557	987
612	1559	984
613	1563	983
614	1566	980
615	1568	977
616	1570	974
617	1572	972
618	1575	969
619	1578	967
620	1580	964
621	1582	961
622	1584	958
623	1586	955
624	1588	953
625	1590	950
626	1593	947
627	1595	944
628	1596	941
629	1599	939
630	1601	936
631	1603	933
632	1605	930
633	1607	928
634	1609	925
635	1611	922
636	1615	920
637	1617	917
638	1619	915
639	1621	912
640	1623	909
641	1627	907
642	1630	905
643	1633	902
644	1635	899
645	1637	897
646	1639	894
647	1642	892
648	1644	889
649	1647	886
650	1649	884
651	1650	881
652	1654	879
653	1657	876
654	1660	874
655	1662	871
656	1664	868
657	1666	866
658	1669	863
659	1671	861
660	1673	858
661	1676	855
662	1678	853
663	1682	851
664	1685	849
665	1687	846
666	1689	843
667	1691	840
668	1693	837
669	1697	836
670	1699	833
671	1701	830
672	1703	827
673	1706	825
674	1709	822
675	1711	820
676	1714	817
677	1716	814
678	1718	812
679	1720	809
680	1723	807
681	1725	804
682	1728	802
683	1730	799
684	1733	796
685	1735	794
686	1738	792
687	1741	789
688	1743	786
689	1744	783
690	1748	781
691	1750	779
692	1753	776
693	1755	773
694	1757	771
695	1759	768
696	1762	766
697	1765	763
698	1767	761
699	1769	758
700	1771	755
701	1774	753
702	1776	750
703	1778	747
704	1780	745
705	1782	742
706	1784	739
707	1786	736
708	1789	734
709	1791	731
710	1793	729
711	1795	726
712	1798	723
713	1801	721
714	1803	718
715	1806	716
716	1808	713
717	1810	711
718	1812	708
719	1815	706
720	1818	703
721	1820	700
722	1822	698
723	1824	695
724	1826	692
725	1829	690
726	1832	687
727	1834	685
728	1836	682
729	1838	679
730	1843	678
731	1845	675
732	1848	673
733	1850	670
734	1852	667
735	1857	666
736	1860	663
737	1862	661
738	1865	658
739	1867	656
740	1869	653
741	1874	651
742	1876	649
743	1878	646
744	1881	643
745	1884	641
746	1887	639
747	1890	636
748	1892	634
749	1894	631
750	1897	629
751	1900	626
752	1903	624
753	1905	621
754	1909	619
755	1911	616
756	1914	614
757	1916	611
758	1918	609
759	1920	606
760	1925	604
761	1928	602
762	1931	599
763	1933	597
764	1935	594
765	1938	592
766	1940	589
767	1942	586
768	1944	584
769	1946	581
770	1948	578
771	1951	576
772	1953	573
773	1955	571
774	1957	568
775	1959	565
776	1962	563
777	1966	560
778	1968	558
779	1970	555
780	1972	553
781	1976	551
782	1979	548
783	1981	546
784	1984	543
785	1986	540
786	1990	538
787	1992	536
788	1995	533
789	1997	530
790	1999	528
791	2004	526
792	2007	523
793	2009	521
794	2011	518
795	2014	516
796	2018	514
797	2020	511
798	2023	508
799	2025	506
800	2028	503
801	2033	502
802	2036	499
803	2039	497
804	2042	494
805	2045	492
806	2048	489
807	2050	487
808	2052	484
809	2055	482
810	2057	479
811	2060	477
812	2062	474
813	2065	471
814	2067	469
815	2070	466
816	2072	464
817	2075	461
818	2077	459
819	2079	456
820	2082	454
821	2085	451
822	2087	449
823	2089	446
824	2091	443
825	2094	441
826	2097	438
827	2099	436
828	2101	433
829	2103	430
830	2105	428
831	2108	425
832	2111	423
833	2113	420
834	2116	418
835	2118	415
836	2120	413
837	2123	410
838	2125	407
839	2128	405
840	2129	402
841	2131	400
842	2136	397
843	2138	395
844	2140	392
845	2142	390
846	2144	387
847	2146	384
848	2149	382
849	2152	379
850	2154	377
851	2156	374
852	2159	372
853	2161	369
854	2164	367
855	2166	364
856	2169	361
857	2171	359
858	2174	356
859	2176	354
860	2179	351
861	2182	349
862	2184	346
863	2186	344
864	2189	341
865	2192	339
866	2195	336
867	2197	334
868	2199	331
869	2201	328
870	2204	326
871	2208	324
872	2210	321
873	2213	319
874	2218	316
875	2220	314
876	2225	312
877	2228	309
878	2230	306
879	2233	304
880	2236	302
881	2238	299
882	2241	296
883	2243	294
884	2245	291
885	2248	289
886	2251	286
887	2253	284
888	2255	281
889	2257	279
890	2260	276
891	2263	274
892	2266	271
893	2268	268
894	2270	266
895	2272	263
896	2274	261
897	2277	258
898	2280	256
899	2282	253
900	2284	251
901	2286	248
902	2289	245
903	2292	243
904	2294	240
905	2296	238
906	2298	235
907	2301	233
908	2304	230
909	2306	228
910	2308	225
911	2310	222
912	2313	220
913	2315	217
914	2318	215
915	2320	212
916	2323	210
917	2325	207
918	2327	205
919	2331	202
920	2333	200
921	2336	197
922	2338	195
923	2340	192
924	2342	189
925	2346	187
926	2348	184
927	2350	182
928	2352	179
929	2354	177
930	2358	174
931	2360	172
932	2362	169
933	2364	167
934	2366	164
935	2369	162
936	2373	159
937	2375	156
938	2377	154
939	2379	151
940	2381	149
941	2384	146
942	2386	144
943	2389	141
944	2390	139
945	2393	136
946	2395	134
947	2398	131
948	2400	129
949	2402	126
950	2404	123
951	2407	121
952	2409	118
953	2412	116
954	2414	113
955	2416	111
956	2418	108
957	2421	106
958	2425	103
959	2427	101
960	2429	98
961	2431	96
962	2433	93
963	2436	90
964	2439	88
965	2442	85
966	2444	83
967	2446	80
968	2448	78
969	2451	75
970	2453	73
971	2456	70
972	2458	68
973	2460	65
974	2464	63
975	2467	60
976	2469	58
977	2471	55
978	2473	53
979	2476	50
980	2479	48
981	2481	45
982	2483	42
983	2485	40
984	2488	37
985	2490	35
986	2493	32
987	2496	30
988	2498	27
989	2500	25
990	2502	22
991	2505	20
992	2507	17
993	2510	15
994	2512	12
995	2515	10
996	2519	7
997	2521	5
998	2523	2
999	2525	0
